Geneid,CHD1male1,CHD1male2,OREmale1,OREmale2
FBgn0037093,814,302,1041,863
FBgn0037094,931,311,1456,1135
FBgn0053289,0,0,2,2
FBgn0015283,299,114,466,417
FBgn0028663,219,118,412,295
FBgn0053290,0,0,0,4
FBgn0037101,0,0,0,6
FBgn0052438,108,48,198,225
FBgn0052441,259,64,389,332
FBgn0037102,46,15,93,88
FBgn0037099,2,0,7,10
FBgn0037098,3026,983,4231,3831
FBgn0029152,463,143,685,563
FBgn0026371,46,16,76,86
FBgn0015239,288,106,391,357
FBgn0037086,2,0,14,6
FBgn0037085,4,0,20,7
FBgn0014143,28,12,70,64
FBgn0037082,104,49,90,106
FBgn0037081,316,139,410,322
FBgn0002842,19,10,31,54
FBgn0037078,0,2,0,0
FBgn0037076,43,12,28,52
FBgn0037074,1307,549,1968,1882
FBgn0003042,343,106,519,419
FBgn0037070,2,0,2,3
FBgn0037067,6,2,5,7
FBgn0037065,4,0,6,2
FBgn0027945,287,122,374,348
FBgn0037064,100,14,96,86
FBgn0037063,301,136,492,460
FBgn0037106,50,32,73,75
FBgn0037108,283,127,508,500
FBgn0037110,59,22,93,84
FBgn0043783,352,54,206,169
FBgn0052445,8,0,0,0
FBgn0052446,254,65,219,249
FBgn0037115,4,0,0,0
FBgn0037117,311,136,436,365
FBgn0037121,33,10,76,59
FBgn0037125,0,0,5,4
FBgn0037128,0,2,2,2
FBgn0037131,41,13,66,68
FBgn0037133,2,1,0,5
FBgn0000560,10,2,2,10
FBgn0022936,30,12,68,47
FBgn0037134,105,37,124,139
FBgn0037135,2117,815,3855,3008
FBgn0037139,0,0,2,0
FBgn0037138,2238,961,3055,2674
FBgn0046301,147,42,210,229
FBgn0052448,13,4,29,18
FBgn0037130,430,184,814,760
FBgn0037129,2,1,6,11
FBgn0037127,0,0,0,0
FBgn0037126,101,48,252,257
FBgn0037124,0,0,4,4
FBgn0037123,0,0,2,0
FBgn0037122,2,0,19,13
FBgn0037120,449,172,795,679
FBgn0052447,36,4,28,12
FBgn0037116,642,239,760,727
FBgn0037114,2,0,2,4
FBgn0037109,710,318,1264,1049
FBgn0037107,516,207,894,872
FBgn0037105,145,66,154,149
FBgn0037140,124,48,239,177
FBgn0037142,763,277,1410,1106
FBgn0037143,0,0,4,0
FBgn0037144,30,14,49,35
FBgn0029091,16,12,23,16
FBgn0037146,5010,2183,8095,6614
FBgn0000045,118,32,290,288
FBgn0004514,216,74,327,324
FBgn0037149,21,6,48,51
FBgn0000100,5258,2030,11214,9240
FBgn0004414,0,0,0,0
FBgn0037151,40,16,78,72
FBgn0037150,124,37,219,198
FBgn0027532,742,250,1193,1081
FBgn0037147,10,4,8,10
FBgn0037141,74,33,86,82
FBgn0052449,1,1,5,3
FBgn0015075,120,62,199,158
FBgn0004179,1330,588,2251,2133
FBgn0025702,772,258,1458,1276
FBgn0027086,432,224,741,591
FBgn0052450,75,14,129,103
FBgn0037162,135,43,248,212
FBgn0037164,297,92,574,463
FBgn0037165,34,7,86,107
FBgn0037166,227,90,309,293
FBgn0037167,120,18,421,400
FBgn0037163,758,275,1100,939
FBgn0004449,5357,1964,9168,8227
FBgn0011771,375,121,467,363
FBgn0037156,53,16,97,73
FBgn0028500,1020,423,1464,1196
FBgn0037169,36,14,77,72
FBgn0037170,95,36,183,200
FBgn0037172,20,8,46,29
FBgn0037174,0,4,4,4
FBgn0037176,141,74,0,0
FBgn0037179,0,0,0,0
FBgn0037180,0,0,0,0
FBgn0052453,0,0,0,0
FBgn0037181,4,2,6,6
FBgn0052452,59,37,91,90
FBgn0037185,57,20,90,95
FBgn0260481,33,8,41,16
FBgn0037188,311,96,461,432
FBgn0052451,3324,1450,5450,4752
FBgn0037191,22,8,37,27
FBgn0010830,205,80,457,371
FBgn0037186,186,80,383,324
FBgn0037184,74,37,101,93
FBgn0037183,0,0,4,2
FBgn0037182,417,166,579,606
FBgn0037178,0,0,0,0
FBgn0037177,0,0,0,0
FBgn0037175,0,0,0,0
FBgn0037171,560,189,791,727
FBgn0037195,26,0,20,4
FBgn0037197,5,0,1,0
FBgn0053169,9,4,15,16
FBgn0037200,1,0,2,0
FBgn0037202,23,4,20,25
FBgn0037203,124,35,153,144
FBgn0037204,0,2,2,2
FBgn0037205,2,0,0,8
FBgn0037206,169,44,223,167
FBgn0037207,137,61,248,221
FBgn0052457,6,6,6,28
FBgn0052461,2,0,12,8
FBgn0044324,735,315,1105,1067
FBgn0010348,1004,401,1357,1343
FBgn0020518,1,0,4,1
FBgn0037199,161,78,491,308
FBgn0052459,2,0,2,4
FBgn0052462,0,0,0,0
FBgn0052460,0,0,0,0
FBgn0037397,0,0,1,0
FBgn0046878,6,0,21,17
FBgn0037402,2,0,0,2
FBgn0037405,6,0,3,6
FBgn0037406,0,0,0,0
FBgn0051562,0,0,0,0
FBgn0037408,61,26,126,85
FBgn0037409,35,9,38,16
FBgn0037410,36,12,4,4
FBgn0037411,0,2,2,0
FBgn0037413,0,0,6,1
FBgn0027527,0,0,2,6
FBgn0037414,16,2,114,97
FBgn0037415,8,4,18,18
FBgn0037416,12,2,131,111
FBgn0037419,0,0,0,2
FBgn0037421,0,0,0,0
FBgn0037422,0,0,0,1
FBgn0040279,0,0,0,0
FBgn0037424,2,2,0,0
FBgn0051561,0,0,6,4
FBgn0051560,2,0,0,0
FBgn0037427,4,0,2,4
FBgn0037428,0,0,0,2
