Geneid,CHD1fem1,CHD1fem2,CHD1male1,CHD1male2,OREfem1,OREfem2,OREmale1,OREmale2
FBgn0031265,51,37,90,24,119,80,165,131
FBgn0031266,247,171,493,201,522,382,771,589
FBgn0031268,35,26,82,20,105,98,187,190
FBgn0023489,147,84,266,96,311,258,472,502
FBgn0010323,4,2,19,5,20,12,45,22
FBgn0013323,8,2,8,4,6,18,10,20
FBgn0031267,18,36,42,14,73,64,72,72
FBgn0021874,25,13,54,19,111,48,101,80
FBgn0031264,88,44,106,51,89,60,128,89
FBgn0005660,105,64,44,14,309,200,638,550
FBgn0031260,219,148,389,120,339,299,533,436
FBgn0010602,145,74,242,97,243,220,362,265
FBgn0043364,681,356,963,524,1439,739,2061,1728
FBgn0031258,571,256,912,364,1233,905,1519,1321
FBgn0015924,310,233,710,323,742,573,1048,934
FBgn0031253,6,2,15,8,24,26,22,29
FBgn0031252,0,0,2,0,6,2,2,2
FBgn0031251,28,14,50,31,96,74,100,68
FBgn0031250,13,7,32,16,24,13,30,29
FBgn0051921,29,15,55,21,55,49,91,95
FBgn0031249,14,8,61,11,46,44,73,52
FBgn0031248,14,17,56,19,54,24,78,63
FBgn0067779,243,149,535,197,503,436,569,514
FBgn0031213,160,127,506,169,566,391,678,648
FBgn0031214,72,39,177,70,184,145,185,164
FBgn0031216,639,293,1326,451,1290,1033,1892,1825
FBgn0031217,53,45,94,28,113,104,159,145
FBgn0001142,548,394,1175,623,2878,2062,2644,2183
FBgn0031224,44,16,58,26,63,93,142,95
FBgn0031228,55,57,220,87,291,276,310,358
FBgn0031229,57,46,117,62,159,125,195,146
FBgn0031231,34,14,76,28,78,98,109,110
FBgn0031233,117,74,251,107,306,283,409,366
FBgn0031235,29,29,78,19,65,69,107,131
FBgn0031240,28,14,81,17,76,55,118,124
FBgn0003444,66,35,147,38,163,92,223,236
FBgn0031247,20,8,35,15,57,20,56,37
FBgn0024352,409,195,645,250,1489,2472,1710,1513
FBgn0020622,214,144,529,195,513,406,761,648
FBgn0017457,76,30,133,68,185,201,263,225
FBgn0025686,16,7,28,14,36,15,39,33
FBgn0031245,170,117,367,199,362,249,482,439
FBgn0031244,42,21,62,38,68,68,141,95
